"","p-value-t.test","FDR-t.test","p-value-kw.test","FDR-kw.test"
"Escherichia",0.000136643447691084,0.00379435598957646,0.000120739358518336,0.00434661690666009
"Subdoligranulum",0.00021079755497647,0.00379435598957646,0.00040035039137157,0.00720630704468826
"Ruminococcus2",0.000401516627610455,0.00481819953132546,0.000982856536075099,0.0102159250320209
"Butyricicoccus",0.000621555789784696,0.00559400210806226,0.00113510278133566,0.0102159250320209
"Faecalibacterium",0.00147985930103267,0.00959589800299084,0.00297879108636284,0.0211092211561912
"Clostridium_IV",0.00184529542865807,0.00959589800299084,0.00387021846853137,0.0211092211561912
"Blautia",0.00186586905613711,0.00959589800299084,0.00469093803470916,0.0211092211561912
"Alloprevotella",0.00757065525611233,0.0340679486525055,0.00469093803470916,0.0211092211561912
"Others",0.0185037654028184,0.0740150616112737,0.00602978656049111,0.022427080846662
"Lactobacillus",0.0238982952604304,0.0860338629375494,0.00681504343356471,0.022427080846662
"Prevotella",0.0293807480210547,0.0961551753416336,0.00685271914759117,0.022427080846662
"Clostridium_XlVb",0.0617618808281143,0.185285642484343,0.00922062633907381,0.0276618790172214
"Barnesiella",0.0870062567726227,0.24094040337034,0.0121611576457438,0.0336770519420596
"Clostridium_XlVa",0.0988952223188603,0.254302000248498,0.017312501911421,0.0445178620579398
"Corynebacterium",0.169214933351601,0.406115840043842,0.0265811358917068,0.0624600987130385
"Rothia",0.189573174942547,0.408098688033694,0.0280217462038646,0.0624600987130385
"Neisseria",0.201556971279494,0.408098688033694,0.0294950466144904,0.0624600987130385
"Haemophilus",0.213252160614753,0.408098688033694,0.0522986969887393,0.104597393977479
"Dolosigranulum",0.21538541868445,0.408098688033694,0.0555082458672636,0.105173518485342
"Veillonella",0.309702314945596,0.557464166902073,0.0838443150949071,0.150919767170833
"Peptoniphilus",0.339483619256222,0.56386413430997,0.112587721892883,0.183556416410449
"Pseudoflavonifractor",0.346827460091649,0.56386413430997,0.112587721892883,0.183556416410449
"Staphylococcus",0.360246530253592,0.56386413430997,0.117272154928898,0.183556416410449
"Leptotrichia",0.38134529176371,0.567491702073172,0.130071273608799,0.195106910413198
"Streptococcus",0.394091459773036,0.567491702073172,0.179765076686422,0.258861710428448
"Gemella",0.441766846535351,0.611677172125871,0.193176454382843,0.267475090683936
"Anaerococcus",0.463696832035074,0.618262442713431,0.206173030790435,0.274897374387246
"Fusobacterium",0.522997513934963,0.672425375059238,0.250001724597205,0.321430788767835
"Klebsiella",0.57237365324463,0.710532810924368,0.272002419829395,0.337658176339938
"Pelomonas",0.654201672928201,0.776489086652779,0.299408853517098,0.359290624220518
"Porphyromonas",0.689444845141258,0.776489086652779,0.555247470805025,0.644803514483254
"Lautropia",0.700571436477795,0.776489086652779,0.581688161062435,0.65439918119524
"Granulicatella",0.711781662765047,0.776489086652779,0.854737487563117,0.912102641348633
"Acinetobacter",0.84479783747723,0.876459116659284,0.876599219320559,0.912102641348633
"Bacteroides",0.852113030085415,0.876459116659284,0.886766456866727,0.912102641348633
"Propionibacterium",0.978688127436398,0.978688127436398,0.918946018919673,0.918946018919673
